Date,Time ,X,Y,Z
2023-02-25 18:36:22.028,"Time: 71 ms, ",15.76,-103.37,-15.22
2023-02-25 18:36:22.099,"Time: 71 ms, ",15.45,-100.96,-19.65
2023-02-25 18:36:22.170,"Time: 71 ms, ",15.27,-98.74,-9.92
2023-02-25 18:36:22.241,"Time: 70 ms, ",17.25,-96.74,-14.22
2023-02-25 18:36:22.311,"Time: 71 ms, ",17.27,-100.5,-13.79
2023-02-25 18:36:22.382,"Time: 71 ms, ",14.59,-101.39,-16.88
2023-02-25 18:36:22.453,"Time: 71 ms, ",15.31,-100.76,-16.36
2023-02-25 18:36:22.523,"Time: 70 ms, ",19.79,-99.93,-11.55
2023-02-25 18:36:22.594,"Time: 71 ms, ",16.61,-100.38,-21.04
2023-02-25 18:36:22.665,"Time: 71 ms, ",16.54,-102.43,-9.64
2023-02-25 18:36:22.736,"Time: 71 ms, ",15.45,-102.58,-15.66
2023-02-25 18:36:22.807,"Time: 70 ms, ",15.21,-101.28,-22.03
2023-02-25 18:36:22.877,"Time: 71 ms, ",16.88,-100.79,-10.05
2023-02-25 18:36:22.948,"Time: 71 ms, ",18.49,-101.38,-8.31
2023-02-25 18:36:23.019,"Time: 71 ms, ",15.1,-100.78,-22.09
2023-02-25 18:36:23.090,"Time: 70 ms, ",16.98,-103.09,-13.59
2023-02-25 18:36:23.161,"Time: 71 ms, ",18.65,-99.19,-6.03
2023-02-25 18:36:23.231,"Time: 71 ms, ",15.78,-97.85,-20.4
2023-02-25 18:36:23.302,"Time: 71 ms, ",17.59,-100.09,-9.55
2023-02-25 18:36:23.373,"Time: 71 ms, ",14.79,-99.98,-15.01
2023-02-25 18:36:23.444,"Time: 70 ms, ",13.5,-99.4,-16.36
2023-02-25 18:36:23.515,"Time: 71 ms, ",16.28,-102.39,-8.4
2023-02-25 18:36:23.585,"Time: 71 ms, ",16.55,-102.45,-14.17
2023-02-25 18:36:23.656,"Time: 71 ms, ",16.06,-98.05,-18.82
2023-02-25 18:36:23.727,"Time: 71 ms, ",15.97,-101.59,-13.56
2023-02-25 18:36:23.798,"Time: 70 ms, ",14.53,-100.4,-14.4
2023-02-25 18:36:23.868,"Time: 71 ms, ",17.72,-98.65,-11
2023-02-25 18:36:23.939,"Time: 71 ms, ",17.61,-94.08,-18.48
2023-02-25 18:36:24.009,"Time: 71 ms, ",16.98,-101.7,-16.35
2023-02-25 18:36:24.080,"Time: 70 ms, ",14.7,-101.68,-13.89
2023-02-25 18:36:24.151,"Time: 71 ms, ",15.82,-99.89,-13.67
2023-02-25 18:36:24.222,"Time: 71 ms, ",16.46,-106.46,-10.57
2023-02-25 18:36:24.293,"Time: 71 ms, ",15.88,-98.63,-17.97
2023-02-25 18:36:24.364,"Time: 70 ms, ",15.82,-102.39,-10.16
2023-02-25 18:36:24.434,"Time: 71 ms, ",13.72,-98.78,-16.47
2023-02-25 18:36:24.505,"Time: 71 ms, ",17.25,-99.58,-10.96
2023-02-25 18:36:24.607,"Time: 71 ms, ",15.45,-100.82,-12.39
2023-02-25 18:36:24.647,"Time: 70 ms, ",16.44,-103.85,-17.33
2023-02-25 18:36:24.718,"Time: 71 ms, ",18.9,-103.89,-9.97
2023-02-25 18:36:24.788,"Time: 71 ms, ",16.66,-102.38,-16.92
2023-02-25 18:36:24.859,"Time: 71 ms, ",16.43,-100.38,-14.43
2023-02-25 18:36:24.930,"Time: 71 ms, ",15.94,-97.81,-13.61
2023-02-25 18:36:25.001,"Time: 70 ms, ",15.03,-101.5,-20.26
2023-02-25 18:36:25.071,"Time: 71 ms, ",15.1,-103.93,-13.31
2023-02-25 18:36:25.142,"Time: 71 ms, ",18.84,-96.03,-7.4
2023-02-25 18:36:25.213,"Time: 71 ms, ",15.26,-101.07,-19.43
2023-02-25 18:36:25.284,"Time: 70 ms, ",14.21,-102.83,-16.41
2023-02-25 18:36:25.354,"Time: 71 ms, ",16.74,-101.25,-5.7
2023-02-25 18:36:25.425,"Time: 71 ms, ",13.83,-101.73,-15.27
2023-02-25 18:36:25.496,"Time: 71 ms, ",14.53,-100.33,-10.29
2023-02-25 18:36:25.567,"Time: 70 ms, ",14.62,-103.37,-11.18
2023-02-25 18:36:25.638,"Time: 71 ms, ",13.85,-104.26,-18.85
2023-02-25 18:36:25.708,"Time: 71 ms, ",15.92,-100.39,-12.62
2023-02-25 18:36:25.779,"Time: 71 ms, ",18.24,-98.85,-5.81
2023-02-25 18:36:25.850,"Time: 71 ms, ",13.62,-103.1,-18.01
2023-02-25 18:36:25.921,"Time: 70 ms, ",14.56,-102.71,-23.61
2023-02-25 18:36:25.991,"Time: 71 ms, ",16.5,-100.83,-6.98
2023-02-25 18:36:26.062,"Time: 71 ms, ",16.66,-100.12,-21.34
2023-02-25 18:36:26.132,"Time: 71 ms, ",16.66,-101.66,-14.27
2023-02-25 18:36:26.204,"Time: 70 ms, ",17.16,-100.81,-12.87
2023-02-25 18:36:26.275,"Time: 71 ms, ",13.51,-97.86,-24.24
2023-02-25 18:36:26.345,"Time: 71 ms, ",15.5,-101.94,-12.35
2023-02-25 18:36:26.416,"Time: 71 ms, ",16.65,-100.7,-11.6
2023-02-25 18:36:26.487,"Time: 70 ms, ",19.57,-102.17,-11.57
2023-02-25 18:36:26.558,"Time: 71 ms, ",14.21,-101,-20.57
2023-02-25 18:36:26.628,"Time: 71 ms, ",17.32,-98.68,-16.14
2023-02-25 18:36:26.699,"Time: 71 ms, ",17.16,-96.41,-12.23
2023-02-25 18:36:26.770,"Time: 71 ms, ",16.53,-102.55,-16.81
2023-02-25 18:36:26.840,"Time: 70 ms, ",15.3,-101.55,-13.94
2023-02-25 18:36:26.911,"Time: 71 ms, ",17.13,-99.95,-12.44
2023-02-25 18:36:26.982,"Time: 71 ms, ",16.52,-98.51,-17.96
2023-02-25 18:36:27.053,"Time: 71 ms, ",13.98,-96.87,-14.42
2023-02-25 18:36:27.124,"Time: 70 ms, ",18.64,-101.93,-1.09
2023-02-25 18:36:27.194,"Time: 71 ms, ",16.87,-98.62,-23.28
2023-02-25 18:36:27.265,"Time: 71 ms, ",15.25,-100.2,-16.25
2023-02-25 18:36:27.336,"Time: 71 ms, ",16.89,-100.9,-0.67
2023-02-25 18:36:27.407,"Time: 70 ms, ",15.56,-101.16,-23.44
2023-02-25 18:36:27.477,"Time: 71 ms, ",17.25,-98,-7.98
2023-02-25 18:36:27.548,"Time: 71 ms, ",14.59,-100.18,-19.2
2023-02-25 18:36:27.619,"Time: 71 ms, ",16.1,-98.69,-16.87
