Date,Time ,X,Y,Z
2023-02-25 18:54:32.780,"Time: 70 ms, ",17.08,-99.11,-12.13
2023-02-25 18:54:32.851,"Time: 71 ms, ",17.81,-100.81,-12.6
2023-02-25 18:54:32.922,"Time: 71 ms, ",16.61,-99.88,-10.49
2023-02-25 18:54:32.992,"Time: 70 ms, ",17.61,-99.4,-12.4
2023-02-25 18:54:33.063,"Time: 71 ms, ",18.44,-100.06,-13.53
2023-02-25 18:54:33.133,"Time: 71 ms, ",17.61,-99.68,-15.72
2023-02-25 18:54:33.204,"Time: 71 ms, ",18.98,-98.82,-11.89
2023-02-25 18:54:33.275,"Time: 70 ms, ",17.22,-101.27,-9.53
2023-02-25 18:54:33.346,"Time: 71 ms, ",16.22,-103.65,-13.33
2023-02-25 18:54:33.416,"Time: 71 ms, ",17.4,-100.06,-11.65
2023-02-25 18:54:33.487,"Time: 70 ms, ",19.36,-99.79,-12.41
2023-02-25 18:54:33.558,"Time: 71 ms, ",16.22,-98.38,-9.28
2023-02-25 18:54:33.628,"Time: 71 ms, ",17.08,-98.45,-10.08
2023-02-25 18:54:33.699,"Time: 71 ms, ",16.66,-101.43,-11.11
2023-02-25 18:54:33.770,"Time: 70 ms, ",18.62,-101.54,-14
2023-02-25 18:54:33.840,"Time: 71 ms, ",19.31,-97.09,-11.6
2023-02-25 18:54:33.911,"Time: 71 ms, ",17.4,-99.62,-14.83
2023-02-25 18:54:33.982,"Time: 70 ms, ",17.6,-99.51,-12.82
2023-02-25 18:54:34.053,"Time: 71 ms, ",17.15,-102.37,-8.56
2023-02-25 18:54:34.123,"Time: 71 ms, ",18.24,-98.74,-10.95
2023-02-25 18:54:34.194,"Time: 71 ms, ",18.85,-101.34,-13.85
2023-02-25 18:54:34.265,"Time: 70 ms, ",16.17,-98.44,-14.89
2023-02-25 18:54:34.336,"Time: 71 ms, ",16.82,-101.29,-11.88
2023-02-25 18:54:34.406,"Time: 71 ms, ",19.52,-98.88,-11.05
2023-02-25 18:54:34.477,"Time: 70 ms, ",17.58,-98.94,-15.39
2023-02-25 18:54:34.548,"Time: 71 ms, ",17.76,-98.94,-15.78
2023-02-25 18:54:34.618,"Time: 71 ms, ",17.02,-102.25,-8.61
2023-02-25 18:54:34.689,"Time: 70 ms, ",18.08,-102.49,-10.22
2023-02-25 18:54:34.760,"Time: 71 ms, ",16.36,-101.06,-14.01
2023-02-25 18:54:34.830,"Time: 71 ms, ",18.6,-101.18,-15.23
2023-02-25 18:54:34.901,"Time: 71 ms, ",18.09,-98.34,-7.89
2023-02-25 18:54:34.972,"Time: 70 ms, ",17.15,-100.02,-10.46
2023-02-25 18:54:35.043,"Time: 71 ms, ",16.93,-101.21,-13.26
2023-02-25 18:54:35.113,"Time: 71 ms, ",16.54,-99.8,-12.17
2023-02-25 18:54:35.184,"Time: 71 ms, ",17.29,-99.38,-11.52
2023-02-25 18:54:35.255,"Time: 70 ms, ",19.34,-99.46,-10.56
2023-02-25 18:54:35.325,"Time: 71 ms, ",18.75,-101.84,-11.45
2023-02-25 18:54:35.396,"Time: 71 ms, ",16.17,-99.95,-12.5
2023-02-25 18:54:35.467,"Time: 70 ms, ",18.49,-99.45,-14.34
2023-02-25 18:54:35.537,"Time: 71 ms, ",17.69,-100.44,-9.2
2023-02-25 18:54:35.608,"Time: 71 ms, ",17.32,-100.45,-12.68
2023-02-25 18:54:35.679,"Time: 71 ms, ",16.58,-99.69,-15.15
2023-02-25 18:54:35.750,"Time: 70 ms, ",16.6,-100.23,-15.43
2023-02-25 18:54:35.820,"Time: 71 ms, ",16.06,-101.98,-6.15
2023-02-25 18:54:35.891,"Time: 71 ms, ",18.19,-100.33,-9.35
2023-02-25 18:54:35.962,"Time: 70 ms, ",16.44,-104.09,-13.96
2023-02-25 18:54:36.032,"Time: 71 ms, ",16.08,-97.66,-10.57
2023-02-25 18:54:36.103,"Time: 71 ms, ",19.46,-100.84,-12.38
2023-02-25 18:54:36.174,"Time: 71 ms, ",17.4,-100.49,-11.47
2023-02-25 18:54:36.245,"Time: 70 ms, ",17.71,-102.66,-11
2023-02-25 18:54:36.315,"Time: 71 ms, ",16.38,-100.72,-11.08
2023-02-25 18:54:36.386,"Time: 71 ms, ",17.49,-103.34,-13.35
2023-02-25 18:54:36.457,"Time: 70 ms, ",18.26,-98,-12.5
2023-02-25 18:54:36.527,"Time: 71 ms, ",15.36,-98.44,-9.68
2023-02-25 18:54:36.598,"Time: 71 ms, ",18.41,-97.17,-11.51
2023-02-25 18:54:36.669,"Time: 71 ms, ",16.27,-102.19,-11.72
2023-02-25 18:54:36.740,"Time: 70 ms, ",16.69,-102,-10.75
2023-02-25 18:54:36.811,"Time: 71 ms, ",17.15,-98.02,-9.78
2023-02-25 18:54:36.881,"Time: 71 ms, ",17.55,-100.56,-12.57
2023-02-25 18:54:36.952,"Time: 70 ms, ",18.35,-99.73,-14.65
2023-02-25 18:54:37.023,"Time: 71 ms, ",16.37,-102.72,-8.22
2023-02-25 18:54:37.093,"Time: 71 ms, ",18.2,-100.57,-11.18
2023-02-25 18:54:37.164,"Time: 71 ms, ",18.58,-97.22,-15.92
2023-02-25 18:54:37.235,"Time: 70 ms, ",16.02,-99.5,-13.24
2023-02-25 18:54:37.305,"Time: 71 ms, ",17.66,-103.09,-12.61
2023-02-25 18:54:37.376,"Time: 71 ms, ",18.82,-96.52,-11.94
2023-02-25 18:54:37.447,"Time: 71 ms, ",18.36,-100.92,-12.57
2023-02-25 18:54:37.517,"Time: 70 ms, ",15.95,-103.39,-10.85
2023-02-25 18:54:37.588,"Time: 71 ms, ",17.38,-98.5,-11.58
2023-02-25 18:54:37.659,"Time: 71 ms, ",20.58,-98.33,-12.04
2023-02-25 18:54:37.730,"Time: 71 ms, ",19.01,-97.42,-11.68
2023-02-25 18:54:37.800,"Time: 70 ms, ",17.66,-101.93,-14.72
2023-02-25 18:54:37.871,"Time: 71 ms, ",18.15,-96.87,-11.51
2023-02-25 18:54:37.942,"Time: 71 ms, ",18.13,-96.63,-12.46
2023-02-25 18:54:38.013,"Time: 70 ms, ",16.67,-99.02,-13.66
2023-02-25 18:54:38.083,"Time: 71 ms, ",16.58,-101.77,-9.88
2023-02-25 18:54:38.154,"Time: 71 ms, ",17.05,-98.77,-9.62
2023-02-25 18:54:38.225,"Time: 71 ms, ",16.35,-102.03,-13.61
2023-02-25 18:54:38.296,"Time: 70 ms, ",19.17,-99.19,-14.64
2023-02-25 18:54:38.366,"Time: 71 ms, ",17.37,-100.83,-12.94
2023-02-25 18:54:38.437,"Time: 71 ms, ",22,-100.04,-12.21
2023-02-25 18:54:38.508,"Time: 70 ms, ",18.18,-98.74,-6.7
2023-02-25 18:54:38.578,"Time: 71 ms, ",17.64,-97.46,-15.15
2023-02-25 18:54:38.649,"Time: 71 ms, ",15.8,-100.48,-17.99
2023-02-25 18:54:38.720,"Time: 71 ms, ",16.92,-98.77,-13.35
2023-02-25 18:54:38.790,"Time: 70 ms, ",18.9,-100.49,-11.44
2023-02-25 18:54:38.861,"Time: 71 ms, ",17.69,-97.91,-8.89
2023-02-25 18:54:38.932,"Time: 71 ms, ",17.76,-101.45,-11.91
2023-02-25 18:54:39.003,"Time: 70 ms, ",17.92,-100.73,-12.18
2023-02-25 18:54:39.073,"Time: 71 ms, ",16.41,-100.37,-11.62
2023-02-25 18:54:39.144,"Time: 71 ms, ",16.22,-101.25,-14.32
2023-02-25 18:54:39.215,"Time: 70 ms, ",17.4,-97.17,-16.58
2023-02-25 18:54:39.285,"Time: 71 ms, ",19.07,-98.57,-7.84
2023-02-25 18:54:39.356,"Time: 71 ms, ",20.57,-98.51,-7.46
2023-02-25 18:54:39.427,"Time: 71 ms, ",16.99,-100.55,-14.18
2023-02-25 18:54:39.497,"Time: 70 ms, ",14.14,-100.89,-14.67
2023-02-25 18:54:39.568,"Time: 71 ms, ",19.21,-98.3,-13.39
2023-02-25 18:54:39.639,"Time: 71 ms, ",19.1,-100.57,-11.57
2023-02-25 18:54:39.709,"Time: 70 ms, ",18.74,-101.73,-10.66
2023-02-25 18:54:39.780,"Time: 71 ms, ",17.3,-97.99,-14.99
2023-02-25 18:54:39.851,"Time: 71 ms, ",16.65,-101.79,-9.75
2023-02-25 18:54:39.922,"Time: 71 ms, ",17.64,-97.71,-12.56
2023-02-25 18:54:39.992,"Time: 70 ms, ",17.05,-99.95,-14.44
2023-02-25 18:54:40.063,"Time: 71 ms, ",17.33,-101.94,-10.51
2023-02-25 18:54:40.134,"Time: 71 ms, ",16.37,-99.44,-6.8
2023-02-25 18:54:40.204,"Time: 70 ms, ",15.7,-101.29,-10.45
2023-02-25 18:54:40.275,"Time: 71 ms, ",18.19,-98.11,-17.31
2023-02-25 18:54:40.346,"Time: 71 ms, ",16.02,-99.55,-14.61
2023-02-25 18:54:40.417,"Time: 71 ms, ",19.91,-98.5,1.68
2023-02-25 18:54:40.487,"Time: 70 ms, ",18.18,-100.39,-17.11
2023-02-25 18:54:40.558,"Time: 71 ms, ",17.05,-99.46,-21.34
2023-02-25 18:54:40.629,"Time: 71 ms, ",17.96,-98.28,-9.61
2023-02-25 18:54:40.699,"Time: 71 ms, ",20.32,-98.3,-3.15
2023-02-25 18:54:40.770,"Time: 70 ms, ",17.52,-102.59,-15.97
2023-02-25 18:54:40.841,"Time: 71 ms, ",18.46,-98.68,-11.94
2023-02-25 18:54:40.912,"Time: 71 ms, ",17.86,-100.51,-11.85
2023-02-25 18:54:40.982,"Time: 70 ms, ",17.35,-99.34,-12.51
2023-02-25 18:54:41.053,"Time: 71 ms, ",17.81,-104.31,-14.54
2023-02-25 18:54:41.124,"Time: 71 ms, ",18.68,-99.9,-10.84
2023-02-25 18:54:41.195,"Time: 71 ms, ",17.22,-100.84,-11.07
2023-02-25 18:54:41.265,"Time: 70 ms, ",17.16,-98.36,-9.88
2023-02-25 18:54:41.336,"Time: 71 ms, ",17.19,-102.04,-14.93
2023-02-25 18:54:41.407,"Time: 71 ms, ",17.38,-100.01,-17.41
2023-02-25 18:54:41.478,"Time: 70 ms, ",19.19,-100.54,-11.5
2023-02-25 18:54:41.548,"Time: 71 ms, ",19.89,-99.02,-8.96
2023-02-25 18:54:41.619,"Time: 71 ms, ",17.35,-100.52,-15.99
2023-02-25 18:54:41.690,"Time: 71 ms, ",18.48,-102.09,-10.69
